id,target
0,8.028142
5,8.301488
15,8.3668785
16,8.371997
17,8.178337
19,8.315527
20,8.327054
21,7.861678
23,8.094524
29,8.270071
31,8.303267
32,7.7905884
33,8.466584
34,8.219397
35,8.506976
37,8.405454
38,8.238437
39,8.23018
40,8.43175
44,8.020887
49,8.025259
53,8.267124
56,8.15868
60,8.330782
61,7.5047584
63,8.199049
64,8.506386
66,8.48446
70,8.20264
71,8.336064
72,8.648371
75,8.061659
76,8.039537
78,8.25667
85,8.3786335
86,7.869844
89,8.330018
90,8.359415
92,7.6689672
93,8.2656145
94,8.405005
100,8.081344
101,8.363488
102,8.44332
105,7.8079805
106,8.380625
107,8.356684
108,8.134763
109,8.351023
112,8.439132
113,8.300615
116,8.228615
117,8.413714
118,8.408938
120,8.006289
129,8.348819
130,8.200901
132,8.148204
133,8.453108
134,8.331795
136,8.344427
137,8.14258
141,7.991618
142,8.332478
152,8.002291
154,8.258467
156,8.18687
160,7.700536
161,8.17242
166,8.269182
170,8.254026
173,7.9124994
174,7.6933947
175,8.172984
179,8.358177
182,8.088126
186,8.043959
188,8.172159
189,8.338796
191,8.204578
193,8.279951
194,8.065422
195,7.984809
196,8.002686
197,8.124013
199,8.242071
200,8.037916
202,8.317827
203,8.299085
204,8.268656
206,8.054669
207,8.510054
212,7.9854813
217,7.9481864
218,8.043388
220,8.779268
224,7.8327417
225,8.204554
229,8.458882
230,8.388367
234,8.123507
235,8.0830555
238,8.110276
239,8.488305
241,8.128451
243,8.1276455
245,7.530632
247,8.185517
251,8.341168
252,8.107378
253,8.413481
255,8.206662
256,8.278738
258,8.548413
259,8.445782
260,8.005313
263,7.724711
264,8.493083
266,8.240448
267,8.283862
268,8.210001
270,8.41028
273,8.193225
274,8.4488735
275,8.0406
276,8.002676
277,8.364572
281,8.392414
282,8.186758
285,8.216949
292,8.260249
293,7.969921
295,8.114272
298,8.132522
299,8.624677
300,8.35013
301,7.9574523
302,7.9610314
309,8.068378
311,8.319936
316,8.410772
317,8.081886
319,8.174479
321,8.110695
322,8.31029
324,8.275859
328,7.927269
329,8.498689
331,8.360548
334,8.03697
337,8.111723
338,8.152889
340,8.509319
344,8.262594
349,7.847412
350,7.646482
351,8.481377
354,8.070529
356,8.331285
358,7.971676
361,8.663997
364,8.31783
365,8.626976
370,7.9210486
372,8.249113
374,8.388799
375,7.872963
376,8.258986
379,8.241102
380,8.455549
382,8.129137
383,8.273105
385,8.480411
389,8.280119
392,8.509355
394,8.082813
395,8.349793
398,7.95392
400,8.123831
402,8.519842
403,8.133674
406,8.549874
410,8.044158
412,8.252422
413,8.30892
417,8.008469
418,8.30779
419,8.457209
420,8.199071
423,8.191768
424,8.407421
426,8.502208
427,8.024009
432,8.115537
434,8.194361
438,8.420325
441,8.244762
443,8.445608
448,8.356653
449,8.210699
451,8.430658
452,8.623685
457,8.595926
458,8.14611
459,8.336652
464,8.245874
465,8.32448
467,8.232733
471,8.280424
472,7.8604293
477,8.084315
478,8.295127
480,8.292877
483,8.25633
487,8.349653
489,8.220576
491,8.253845
492,8.047925
496,8.299434
500,8.224295
501,8.126085
502,8.41615
503,8.213669
505,7.9760256
506,7.9664063
514,7.793256
517,7.8897643
519,8.033499
522,8.176463
523,8.364901
528,8.344204
530,7.9243355
532,8.074264
535,8.2241125
538,8.200095
542,8.42959
546,8.159697
548,7.9637117
550,8.085165
555,8.542577
557,7.9347963
559,8.159179
560,8.520349
562,8.298345
566,8.20475
567,8.355047
569,8.1601305
571,8.428495
572,8.186072
574,8.343832
577,8.2575245
581,8.402895
583,8.472754
587,8.24304
590,7.944757
592,8.250175
593,8.264783
608,8.523611
612,8.139482
614,8.43996
616,8.479431
617,8.145838
625,8.230272
626,8.339188
631,7.85142
633,8.174628
636,8.096372
639,8.078056
641,8.045588
642,7.82892
644,8.209134
645,7.943492
646,8.618415
647,8.079143
649,8.571498
650,8.429704
651,8.073766
653,8.03504
655,8.194948
656,8.600718
662,8.339212
669,8.314358
670,8.298896
673,8.408937
674,7.9772468
675,7.74285
685,7.7680635
688,8.387644
689,8.232672
690,8.405992
691,8.26033
696,8.312891
698,8.516823
700,8.3717785
701,8.213118
702,8.143278
703,8.709432
704,7.69503
706,8.284962
708,8.856345
716,8.357035
717,8.458952
718,8.267018
719,7.8227744
720,8.273033
721,8.236737
723,7.902246
725,7.712364
726,8.170646
728,8.465826
730,7.8818216
731,8.200155
734,8.417325
736,8.388212
739,8.370527
743,8.533934
747,8.3033695
749,8.410494
752,7.864856
759,8.405109
763,7.9189925
764,7.665866
765,8.040575
766,8.422335
769,8.214148
776,8.152049
778,7.881851
783,8.069572
784,8.160433
787,8.489695
791,7.8415937
792,8.207191
796,8.482088
799,7.7065215
800,8.252082
801,8.364637
803,7.982568
804,7.897104
805,8.271709
806,8.226836
807,8.259359
809,8.086262
811,8.269003
813,8.123564
814,8.418277
815,7.9320016
816,8.402872
818,8.176904
822,8.478274
828,8.223758
831,7.804489
832,7.907773
834,7.7927294
835,8.636894
836,8.240267
838,8.265074
839,8.277537
842,8.167176
845,8.354117
846,8.590746
848,8.079046
852,8.127695
856,8.567559
857,8.242952
860,8.21024
869,8.298033
871,8.03468
876,8.41566
885,8.357271
887,8.525918
888,8.369101
889,8.26555
891,7.5642104
895,8.4415865
902,8.265713
903,8.701566
905,7.832846
907,8.159428
908,8.345465
909,8.333681
910,8.545203
911,8.096578
913,8.433606
914,8.408226
916,7.989232
917,8.07841
919,8.149371
923,8.422789
924,8.073063
925,8.252586
926,8.498831
929,8.462097
930,8.579402
931,8.207354
936,8.492834
937,8.245824
947,7.932355
949,8.204702
952,8.140142
955,8.605231
956,8.476009
961,8.303815
963,7.95065
964,7.912866
966,8.572062
968,8.388845
969,8.113042
971,8.439952
974,8.536373
980,8.247536
981,8.108957
982,8.311868
983,8.322054
984,8.01121
986,8.118673
992,8.553686
993,8.086926
994,8.379169
998,8.216148
999,7.8693748
1004,8.583432
1006,8.056291
1007,8.067945
1011,8.793981
1012,7.936086
1014,8.016006
1020,8.416977
1021,8.363195
1023,8.081617
1025,7.8995104
1026,8.145931
1027,8.054006
1033,8.059815
1034,8.41063
1038,8.196535
1040,8.29871
1043,8.231069
1045,8.338282
1046,8.214018
1048,8.298346
1049,8.267022
1052,8.385786
1054,8.281545
1055,8.01021
1056,8.234083
1058,8.314446
1060,8.542819
1064,8.01815
1067,7.8793197
1069,8.275049
1070,8.171947
1072,8.520607
1077,8.490952
1082,8.33691
1086,8.435281
1091,8.409647
1093,8.389287
1097,8.16688
1101,8.3081665
1104,8.123377
1106,8.175171
1107,8.294165
1109,8.593263
1113,7.9583817
1115,8.02688
1119,8.22525
1120,7.9591494
1123,8.457187
1131,8.316019
1132,8.289245
1134,8.329692
1136,8.346628
1137,8.576175
1138,8.256937
1139,8.026049
1141,8.102409
1143,7.987605
1144,7.855292
1145,8.116446
1149,8.462037
1150,8.22175
1153,8.323294
1155,7.998085
1160,8.35507
1163,7.7315626
1165,8.372693
1166,8.259425
1169,8.3715105
1172,8.382437
1173,8.260893
1175,8.208269
1177,8.413895
1182,8.373308
1184,8.071181
1186,8.137995
1188,8.311056
1193,8.536562
1196,8.118937
1198,8.687637
1199,7.7658706
1202,8.155653
1203,8.464146
1208,8.083785
1210,8.24976
1211,7.9376364
1213,8.183046
1221,8.199023
1222,8.362317
1226,8.460078
1227,8.2615795
1229,7.9691534
1230,8.634867
1231,8.206869
1232,8.627195
1233,8.093647
1234,8.732272
1236,8.11043
1237,8.102304
1241,8.510376
1242,8.087248
1243,8.346617
1247,7.9477715
1250,8.361366
1251,8.482447
1254,8.318178
1258,8.449835
1259,8.060013
1260,8.235689
1262,8.41529
1265,8.456349
1267,7.9522414
1268,8.182797
1270,8.301858
1271,8.094743
1272,8.391146
1275,7.847974
1276,8.228694
1278,8.544381
1281,8.117941
1282,7.878801
1283,8.329272
1284,8.540188
1286,8.295242
1288,8.628863
1291,8.429049
1293,8.624301
1294,8.2028055
1295,8.11821
1299,8.243921
1301,8.399164
1302,8.191021
1303,8.132337
1306,8.082006
1308,8.332045
1310,8.347868
1311,7.92762
1314,8.164175
1317,8.20709
1319,8.103555
1323,8.107326
1325,8.064699
1331,7.915403
1332,7.956366
1335,8.408827
1337,7.8360777
1338,8.329233
1340,7.9470215
1341,8.151128
1343,8.20895
1345,8.475911
1346,8.30855
1347,8.175233
1349,8.147824
1351,8.335217
1357,8.245536
1364,8.541198
1365,7.881448
1366,7.9014473
1369,8.025311
1371,8.382938
1373,8.1484165
1382,8.418851
1385,8.333629
1386,8.061025
1389,8.26453
1392,8.258562
1394,7.9740458
1398,8.185888
1400,8.147539
1401,8.471454
1403,8.307853
1405,7.968898
1406,8.163649
1413,8.100833
1414,8.140585
1415,8.222689
1420,8.231653
1421,8.338203
1423,7.9638543
1426,8.050987
1427,8.136966
1428,8.314608
1429,8.226187
1430,8.149731
1431,8.133609
1432,8.48797
1434,8.25276
1435,8.166763
1436,8.4074545
1439,8.420088
1443,8.576031
1444,8.028749
1445,8.371385
1447,8.177111
1450,7.712579
1451,8.123868
1452,8.582493
1453,8.619342
1454,8.279121
1455,8.530775
1457,8.335909
1459,7.979062
1466,8.217759
1467,8.328451
1468,8.486771
1469,8.569482
1472,8.227185
1475,8.360906
1476,8.00293
1477,8.093164
1483,8.138827
1484,8.328532
1485,8.386724
1488,8.140823
1491,8.446694
1494,8.091759
1498,8.092217
1502,8.0501585
1503,8.114813
1506,8.203035
1509,8.352915
1511,8.079417
1516,8.509048
1518,8.326849
1519,8.054515
1523,7.959952
1526,8.069808
1532,8.258842
1535,8.0179
1538,8.178531
1539,7.9585676
1541,8.53438
1543,8.063461
1544,8.488747
1546,8.199506
1547,8.229765
1548,8.210083
1555,8.283572
1556,8.44213
1558,8.676043
1559,8.327925
1561,8.399609
1562,8.454764
1564,8.212816
1567,8.092417
1568,7.9912634
1569,8.52229
1575,8.390394
1576,8.143225
1578,8.2141075
1583,8.397849
1584,8.46784
1587,8.53406
1595,8.340461
1596,8.341164
1597,8.436703
1601,8.1725025
1604,8.270619
1611,8.001566
1613,8.039689
1615,8.071976
1616,8.336737
1620,8.402295
1622,8.08289
1626,8.107002
1628,8.19543
1629,8.306631
1633,7.933049
1635,8.248261
1636,8.320183
1637,8.079625
1640,8.42529
1642,7.8789434
1643,8.290997
1644,8.071756
1646,8.212787
1647,8.223122
1648,8.164027
1654,8.220376
1657,8.321829
1658,8.568438
1661,8.448919
1668,8.171362
1669,7.9832077
1670,8.286189
1672,8.498274
1675,8.666218
1676,8.301027
1678,8.467232
1679,8.113551
1684,8.023531
1686,8.694662
1691,8.206636
1692,8.085182
1697,7.9766693
1699,8.212095
1700,8.286787
1703,8.43416
1704,7.9634767
1707,7.8378553
1708,8.396406
1711,8.090685
1713,8.243025
1714,8.1042595
1717,8.354779
1721,8.486946
1723,7.974223
1724,8.569803
1727,7.9647574
1728,8.134008
1731,8.103376
1735,8.503948
1736,8.18325
1738,8.245012
1740,8.447733
1741,8.19408
1743,8.079808
1744,8.291689
1745,7.776867
1746,8.13017
1747,8.599829
1750,8.154754
1753,8.341838
1760,7.8038626
1762,8.185625
1763,8.472728
1764,8.447555
1766,8.595891
1767,7.971255
1769,8.031575
1770,8.37858
1773,8.217139
1775,7.9602113
1779,8.426504
1785,8.527028
1786,7.926862
1787,8.227418
1791,8.297685
1794,8.213572
1795,8.0805
1801,7.9469657
1805,8.410034
1811,8.232394
1815,8.421361
1816,8.562604
1820,8.157741
1822,8.37039
